,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19
0,0.375,0.4166666666666667,0.2857142857142857,0.2692307692307692,0.5,0.4444444444444444,0.3076923076923077,0.2777777777777778,0.4642857142857143,0.35,0.24,0.4,0.2903225806451613,0.25,0.4666666666666667,0.5,0.34615384615384615,0.25,0.3125,0.25
1,0.5,0.5555555555555556,0.40476190476190477,0.358974358974359,0.6666666666666666,0.5555555555555556,0.41025641025641024,0.37037037037037035,0.5365853658536586,0.4666666666666667,0.32432432432432434,0.5333333333333333,0.35555555555555557,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.46153846153846156,0.3333333333333333,0.4583333333333333,0.3333333333333333
2,0.59375,0.625,0.44642857142857145,0.40384615384615385,0.75,0.6111111111111112,0.46153846153846156,0.4166666666666667,0.6111111111111112,0.525,0.3673469387755102,0.6,0.4166666666666667,0.375,0.7241379310344828,0.75,0.5192307692307693,0.375,0.5,0.375
3,0.625,0.6833333333333333,0.4714285714285714,0.4307692307692308,0.8,0.6444444444444445,0.49230769230769234,0.4444444444444444,0.6470588235294118,0.58,0.39344262295081966,0.64,0.4594594594594595,0.4,0.7567567567567568,0.8,0.5538461538461539,0.4,0.525,0.4
4,0.625,0.7083333333333334,0.4880952380952381,0.44871794871794873,0.8333333333333334,0.6666666666666666,0.5128205128205128,0.46296296296296297,0.6790123456790124,0.6,0.4166666666666667,0.6666666666666666,0.45555555555555555,0.4166666666666667,0.7954545454545454,0.8333333333333334,0.5769230769230769,0.4166666666666667,0.5625,0.4166666666666667
5,0.6607142857142857,0.7261904761904762,0.5102040816326531,0.46153846153846156,0.8571428571428571,0.6825396825396826,0.5604395604395604,0.4838709677419355,0.6947368421052632,0.6142857142857143,0.42857142857142855,0.6857142857142857,0.47619047619047616,0.42857142857142855,0.8235294117647058,0.8571428571428571,0.5934065934065934,0.43478260869565216,0.5892857142857143,0.42857142857142855
6,0.671875,0.7395833333333334,0.5178571428571429,0.4854368932038835,0.875,0.6944444444444444,0.5673076923076923,0.49295774647887325,0.7064220183486238,0.6375,0.4375,0.7,0.49166666666666664,0.4375,0.8305084745762712,0.875,0.6057692307692307,0.4430379746835443,0.609375,0.4375
7,0.6944444444444444,0.7431192660550459,0.5238095238095238,0.4956521739130435,0.8888888888888888,0.7037037037037037,0.5982905982905983,0.5,0.7154471544715447,0.6444444444444445,0.4485981308411215,0.7111111111111111,0.49264705882352944,0.4444444444444444,0.835820895522388,0.8888888888888888,0.6153846153846154,0.4606741573033708,0.625,0.4444444444444444
8,0.7,0.7520661157024794,0.5357142857142857,0.5,0.9,0.7222222222222222,0.6,0.5056179775280899,0.7153284671532847,0.67,0.45,0.72,0.5099337748344371,0.460431654676259,0.84,0.9,0.6230769230769231,0.46464646464646464,0.6375,0.45
9,0.7159090909090909,0.7593984962406015,0.5454545454545454,0.5035460992907801,0.9090909090909091,0.7272727272727273,0.6013986013986014,0.5204081632653061,0.7350993377483444,0.6727272727272727,0.45454545454545453,0.7272727272727273,0.5089820359281437,0.46405228758169936,0.8433734939759037,0.9090909090909091,0.6293706293706294,0.46788990825688076,0.6590909090909091,0.45454545454545453
10,0.7291666666666666,0.7655172413793103,0.5476190476190477,0.5064935064935064,0.9166666666666666,0.7314814814814815,0.6025641025641025,0.5327102803738317,0.7515151515151515,0.675,0.45517241379310347,0.7333333333333333,0.510989010989011,0.46706586826347307,0.8555555555555555,0.9166666666666666,0.6346153846153846,0.47058823529411764,0.6666666666666666,0.4583333333333333
11,0.7403846153846154,0.7707006369426752,0.554945054945055,0.5120481927710844,0.9230769230769231,0.7350427350427351,0.6035502958579881,0.5431034482758621,0.7541899441340782,0.676923076923077,0.4585987261146497,0.7384615384615385,0.5126903553299492,0.4696132596685083,0.8571428571428571,0.9230769230769231,0.6449704142011834,0.4728682170542636,0.6730769230769231,0.46153846153846156
12,0.7410714285714286,0.7751479289940828,0.5612244897959183,0.5139664804469274,0.9285714285714286,0.7380952380952381,0.6043956043956044,0.544,0.7668393782383419,0.6785714285714286,0.4588235294117647,0.7482014388489209,0.5188679245283019,0.4742268041237113,0.8584905660377359,0.9285714285714286,0.6483516483516484,0.4748201438848921,0.6696428571428571,0.4642857142857143
13,0.75,0.7845303867403315,0.5619047619047619,0.515625,0.9333333333333333,0.7407407407407407,0.6051282051282051,0.5447761194029851,0.7681159420289855,0.6866666666666666,0.46153846153846156,0.7619047619047619,0.5219298245614035,0.47596153846153844,0.8596491228070176,0.9333333333333333,0.6512820512820513,0.47651006711409394,0.675,0.4666666666666667
14,0.7578125,0.7875647668393783,0.5669642857142857,0.5170731707317073,0.9375,0.7430555555555556,0.6105769230769231,0.5454545454545454,0.7727272727272727,0.6875,0.46153846153846156,0.7692307692307693,0.5349794238683128,0.4774774774774775,0.860655737704918,0.9375,0.6538461538461539,0.48427672955974843,0.6796875,0.46875
15,0.7573529411764706,0.7902439024390244,0.5672268907563025,0.518348623853211,0.9411764705882353,0.7450980392156863,0.6108597285067874,0.5526315789473685,0.7854077253218884,0.6882352941176471,0.46601941747572817,0.7710843373493976,0.5486381322957199,0.4788135593220339,0.8615384615384616,0.9411764705882353,0.6561085972850679,0.48520710059171596,0.6838235294117647,0.47058823529411764
16,0.7638888888888888,0.7972350230414746,0.5674603174603174,0.5217391304347826,0.9444444444444444,0.7469135802469136,0.6111111111111112,0.5527950310559007,0.7886178861788617,0.6888888888888889,0.46788990825688076,0.7727272727272727,0.5567765567765568,0.4819277108433735,0.8623188405797102,0.9444444444444444,0.6581196581196581,0.4860335195530726,0.6805555555555556,0.4722222222222222
