,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49
0,0.5,0.5,0.3076923076923077,0.5,0.5,0.5,0.5,0.5,0.5,0.32432432432432434,0.5,0.4,0.5,0.5,0.42857142857142855,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.375,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.32608695652173914,0.5
1,0.6666666666666666,0.6666666666666666,0.41025641025641024,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.44144144144144143,0.6666666666666666,0.5466666666666666,0.6666666666666666,0.6666666666666666,0.5595238095238095,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.48,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42028985507246375,0.6666666666666666
2,0.75,0.75,0.46153846153846156,0.75,0.75,0.75,0.75,0.75,0.75,0.49324324324324326,0.75,0.62,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5084745762711864,0.75,0.75,0.75,0.75,0.5294117647058824,0.75,0.75,0.75,0.4375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.4782608695652174,0.75
3,0.8,0.8,0.49230769230769234,0.8,0.8,0.8,0.8,0.8,0.8,0.5243243243243243,0.8,0.664,0.8,0.8,0.6642857142857143,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5405405405405406,0.8,0.8,0.8,0.8,0.5714285714285714,0.8,0.8,0.8,0.45,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5130434782608696,0.8
4,0.8333333333333334,0.8333333333333334,0.5128205128205128,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5495495495495496,0.8333333333333334,0.6887417218543046,0.8333333333333334,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5617977528089888,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4583333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5362318840579711,0.8333333333333334
5,0.8571428571428571,0.8571428571428571,0.5274725274725275,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5637065637065637,0.8571428571428571,0.7102272727272727,0.8571428571428571,0.8571428571428571,0.7091836734693877,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5825242718446602,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6206896551724138,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4642857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5527950310559007,0.8571428571428571
6,0.875,0.875,0.5384615384615384,0.875,0.875,0.875,0.875,0.875,0.875,0.581081081081081,0.875,0.7263681592039801,0.875,0.875,0.7232142857142857,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5932203389830508,0.875,0.875,0.875,0.875,0.6363636363636364,0.875,0.875,0.875,0.46875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5652173913043478,0.875
7,0.8888888888888888,0.8888888888888888,0.5470085470085471,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5885885885885885,0.8888888888888888,0.7345132743362832,0.8888888888888888,0.8888888888888888,0.7341269841269841,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6015037593984962,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6486486486486487,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.4722222222222222,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5748792270531401,0.8888888888888888
8,0.9,0.9,0.5538461538461539,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.7450199203187251,0.9,0.9,0.7428571428571429,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6081081081081081,0.9,0.9,0.9,0.9,0.6585365853658537,0.9,0.9,0.9,0.475,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5826086956521739,0.9
9,0.9090909090909091,0.9090909090909091,0.5594405594405595,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6044226044226044,0.9090909090909091,0.75,0.9090909090909091,0.9090909090909091,0.75,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6134969325153374,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6593406593406593,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.4772727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.5889328063241107,0.9090909090909091
